집계일자,콘존ID,차로유형구분코드,교통량
20220601,0010CZE010,1,32968
20220601,0010CZE011,1,32528
20220601,0010CZE020,1,31936
20220601,0010CZE030,1,24594
20220601,0010CZE035,1,27618
20220601,0010CZE040,1,43761
20220601,0010CZE050,1,35558
20220601,0010CZE055,1,-1
20220601,0010CZE060,1,27765
20220601,0010CZE070,1,-1
20220601,0010CZE080,1,20936
20220601,0010CZE085,1,18934
20220601,0010CZE090,1,22115
20220601,0010CZE100,1,23179
20220601,0010CZE105,1,13970
20220601,0010CZE110,1,18351
20220601,0010CZE120,1,26038
20220601,0010CZE130,1,32122
20220601,0010CZE140,1,51543
20220601,0010CZE150,1,56892
20220601,0010CZE160,1,45898
20220601,0010CZE165,1,47432
20220601,0010CZE170,1,33669
20220601,0010CZE180,1,35804
20220601,0010CZE190,1,29602
20220601,0010CZE200,1,27395
20220601,0010CZE205,1,26885
20220601,0010CZE210,1,17448
20220601,0010CZE215,1,14538
20220601,0010CZE220,1,13722
20220601,0010CZE230,1,13340
20220601,0010CZE240,1,11960
20220601,0010CZE250,1,13788
20220601,0010CZE260,1,14786
20220601,0010CZE270,1,21431
20220601,0010CZE280,1,5295
20220601,0010CZE290,1,33181
20220601,0010CZE300,1,38514
20220601,0010CZE310,1,45225
20220601,0010CZE320,1,43311
20220601,0010CZE330,1,55101
20220601,0010CZE340,1,28341
20220601,0010CZE350,1,26152
20220601,0010CZE355,1,32607
20220601,0010CZE357,1,35724
20220601,0010CZE360,1,-1
20220601,0010CZE370,1,56409
20220601,0010CZE380,1,67990
20220601,0010CZE385,1,60125
20220601,0010CZE390,1,63707
20220601,0010CZE400,1,75234
20220601,0010CZE410,1,81576
20220601,0010CZE410,2,3672
20220601,0010CZE420,1,63722
20220601,0010CZE420,2,3355
20220601,0010CZE430,1,76350
20220601,0010CZE430,2,3208
20220601,0010CZE440,1,83704
20220601,0010CZE440,2,4512
20220601,0010CZE450,1,87745
20220601,0010CZE450,2,4720
20220601,0010CZE460,1,85528
20220601,0010CZE460,2,5331
20220601,0010CZE470,1,82167
20220601,0010CZE470,2,5236
20220601,0010CZE480,1,70557
20220601,0010CZE480,2,4746
20220601,0010CZE490,1,61670
20220601,0010CZE490,2,3982
20220601,0010CZE505,1,77723
20220601,0010CZE505,2,4940
20220601,0010CZE510,1,-1
20220601,0010CZE510,2,70
20220601,0010CZE520,1,-1
20220601,0010CZE520,2,-1
20220601,0010CZE521,1,-1
20220601,0010CZE521,2,-1
20220601,0010CZE522,1,-1
20220601,0010CZE522,2,-1
20220601,0010CZS010,1,27654
20220601,0010CZS011,1,31961
20220601,0010CZS020,1,30570
20220601,0010CZS030,1,23368
20220601,0010CZS035,1,27723
20220601,0010CZS040,1,43098
20220601,0010CZS050,1,34653
20220601,0010CZS055,1,-1
20220601,0010CZS060,1,27637
20220601,0010CZS070,1,-1
20220601,0010CZS080,1,21937
20220601,0010CZS085,1,20461
20220601,0010CZS090,1,22852
20220601,0010CZS100,1,23102
20220601,0010CZS105,1,12964
20220601,0010CZS110,1,17152
20220601,0010CZS120,1,27502
20220601,0010CZS130,1,32221
20220601,0010CZS140,1,54126
20220601,0010CZS150,1,57453
20220601,0010CZS160,1,46580
20220601,0010CZS165,1,47467
20220601,0010CZS170,1,34152
20220601,0010CZS180,1,35587
20220601,0010CZS190,1,30611
20220601,0010CZS200,1,28287
20220601,0010CZS205,1,26831
20220601,0010CZS210,1,17534
20220601,0010CZS215,1,14724
20220601,0010CZS220,1,13924
20220601,0010CZS230,1,13117
20220601,0010CZS240,1,13262
20220601,0010CZS250,1,14075
20220601,0010CZS260,1,14033
20220601,0010CZS270,1,22648
20220601,0010CZS280,1,25516
20220601,0010CZS290,1,35212
20220601,0010CZS300,1,42306
20220601,0010CZS310,1,44403
20220601,0010CZS320,1,28794
20220601,0010CZS330,1,54217
20220601,0010CZS340,1,26890
20220601,0010CZS350,1,32838
20220601,0010CZS355,1,34084
20220601,0010CZS357,1,38614
20220601,0010CZS360,1,-1
20220601,0010CZS370,1,64644
20220601,0010CZS380,1,49661
20220601,0010CZS385,1,64292
20220601,0010CZS390,1,72287
20220601,0010CZS400,1,78445
20220601,0010CZS410,1,81413
20220601,0010CZS410,2,4190
20220601,0010CZS420,1,69161
20220601,0010CZS420,2,3071
20220601,0010CZS430,1,81057
20220601,0010CZS430,2,3293
20220601,0010CZS440,1,79396
20220601,0010CZS440,2,8993
20220601,0010CZS450,1,103405
20220601,0010CZS450,2,4648
20220601,0010CZS460,1,88126
20220601,0010CZS460,2,5747
20220601,0010CZS470,1,68761
20220601,0010CZS470,2,4762
20220601,0010CZS480,1,63949
20220601,0010CZS480,2,4463
20220601,0010CZS490,1,76636
20220601,0010CZS490,2,3784
20220601,0010CZS505,1,78445
20220601,0010CZS505,2,4887
20220601,0010CZS510,1,-1
20220601,0010CZS510,2,35
20220601,0010CZS520,1,-1
20220601,0010CZS520,2,-1
20220601,0010CZS521,1,-1
20220601,0010CZS521,2,-1
20220601,0010CZS522,1,-1
20220601,0010CZS522,2,-1
20220601,0100CZE010,1,12848
20220601,0100CZE020,1,-1
20220601,0100CZE025,1,10690
20220601,0100CZE030,1,13218
20220601,0100CZE040,1,11891
20220601,0100CZE050,1,13455
20220601,0100CZE060,1,14156
20220601,0100CZE070,1,15060
20220601,0100CZE080,1,18195
20220601,0100CZE090,1,17849
20220601,0100CZE100,1,18924
20220601,0100CZE110,1,22095
20220601,0100CZE120,1,25132
20220601,0100CZE130,1,26691
20220601,0100CZE140,1,28553
20220601,0100CZE150,1,30241
20220601,0100CZE160,1,28932
20220601,0100CZE170,1,31582
20220601,0100CZE180,1,36933
20220601,0100CZE190,1,34488
20220601,0100CZE200,1,24099
20220601,0100CZE205,1,27478
20220601,0100CZE210,1,30920
20220601,0100CZE215,1,31159
