집계일자,집계시,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20120603,0,107,1,2,0,0,176,3,3,0,0,10,192
20120603,0,108,0,1,0,0,180,2,1,5,3,2,193
20120603,0,108,0,2,0,0,159,3,2,0,0,8,172
20120603,0,108,1,1,0,0,258,4,4,10,3,18,297
20120603,0,108,1,2,0,0,274,2,10,0,0,10,296
20120603,0,109,0,1,0,0,9,2,10,17,3,0,41
20120603,0,109,0,2,0,0,16,1,0,0,0,0,17
20120603,0,109,1,1,0,0,18,1,0,3,2,2,26
20120603,0,109,1,2,0,0,20,1,0,0,0,1,22
20120603,0,110,0,1,0,0,25,1,8,8,3,0,45
20120603,0,110,0,2,0,0,31,0,0,0,0,1,32
20120603,0,110,1,1,0,0,38,0,1,2,4,3,48
20120603,0,110,1,2,0,0,46,7,0,0,0,2,55
20120603,0,111,0,1,0,0,82,3,0,2,1,4,92
20120603,0,111,0,2,0,0,52,0,0,0,0,2,54
20120603,0,111,1,1,0,0,99,1,1,2,0,7,110
20120603,0,111,1,2,0,0,77,2,13,0,0,2,94
20120603,0,112,0,1,0,0,42,2,0,1,1,0,46
20120603,0,112,0,2,0,0,29,1,0,0,0,2,32
20120603,0,112,1,1,0,0,53,4,2,4,1,9,73
20120603,0,112,1,2,0,0,51,2,1,0,0,2,56
20120603,0,113,0,1,0,0,68,4,1,5,2,0,80
20120603,0,113,0,2,0,0,70,1,0,0,0,1,72
20120603,0,113,1,1,0,0,103,3,6,10,3,11,136
20120603,0,113,1,2,0,0,107,1,1,0,0,3,112
20120603,0,114,0,1,0,0,22,1,0,0,0,0,23
20120603,0,114,0,2,0,0,38,0,0,0,0,1,39
20120603,0,114,1,1,0,0,27,0,0,2,1,2,32
20120603,0,114,1,2,0,0,17,0,0,0,0,2,19
20120603,0,115,0,1,0,0,132,0,2,2,1,8,145
20120603,0,115,0,2,0,0,124,3,2,0,0,6,135
20120603,0,115,1,1,0,0,216,3,4,5,6,10,244
20120603,0,115,1,2,0,0,149,2,9,0,0,10,170
20120603,0,116,0,1,0,0,36,5,7,27,4,0,79
20120603,0,116,0,2,0,0,20,1,0,0,0,2,23
20120603,0,116,1,1,0,0,50,0,0,16,4,4,74
20120603,0,116,1,2,0,0,40,0,0,0,0,3,43
20120603,0,117,0,1,0,0,13,0,0,1,0,0,14
20120603,0,117,0,2,0,0,6,0,0,0,0,0,6
20120603,0,117,1,1,0,0,8,0,0,0,1,2,11
20120603,0,117,1,2,0,0,7,0,0,0,0,0,7
20120603,0,118,0,1,0,0,10,1,2,1,0,1,15
20120603,0,118,0,2,0,0,10,0,0,0,0,0,10
20120603,0,118,1,1,0,0,11,0,0,0,0,1,12
20120603,0,118,1,2,0,0,7,0,0,0,0,1,8
20120603,0,119,0,1,0,0,43,1,0,1,0,0,45
20120603,0,119,0,2,0,0,42,0,0,0,0,1,43
20120603,0,119,1,1,0,0,63,0,3,2,0,3,71
20120603,0,119,1,2,0,0,35,0,0,0,0,1,36
20120603,0,120,0,1,0,0,12,0,0,1,3,0,16
20120603,0,120,0,2,0,0,13,0,0,0,0,0,13
20120603,0,120,1,1,0,0,6,0,0,2,0,0,8
20120603,0,120,1,2,0,0,13,0,0,0,0,0,13
20120603,0,121,0,1,0,0,3,0,0,0,0,0,3
20120603,0,121,0,2,0,0,5,1,0,0,0,0,6
20120603,0,121,1,1,0,0,4,0,0,0,0,1,5
20120603,0,121,1,2,0,0,1,0,0,0,0,0,1
20120603,0,122,0,1,0,0,42,1,0,0,3,2,48
20120603,0,122,0,2,0,0,32,0,0,0,0,2,34
20120603,0,122,1,1,0,0,48,0,0,1,0,3,52
20120603,0,122,1,2,0,0,33,0,0,0,0,2,35
20120603,0,123,0,1,0,0,85,1,2,0,1,4,93
20120603,0,123,0,2,0,0,65,0,3,0,0,2,70
20120603,0,123,1,1,0,0,126,0,1,3,0,9,139
20120603,0,123,1,2,0,0,109,1,4,0,0,5,119
20120603,0,124,0,1,0,0,18,0,2,10,0,0,30
20120603,0,124,0,2,0,0,19,0,0,0,0,0,19
20120603,0,124,1,1,0,0,11,0,3,4,0,3,21
20120603,0,124,1,2,0,0,16,0,0,0,0,0,16
20120603,0,125,0,1,0,0,73,1,0,0,0,2,76
20120603,0,125,0,2,0,0,65,0,2,0,0,2,69
20120603,0,125,1,1,0,0,77,0,1,2,1,5,86
20120603,0,125,1,2,0,0,84,0,1,0,0,3,88
20120603,0,126,0,1,0,0,63,1,1,2,1,1,69
20120603,0,126,0,2,0,0,56,1,0,0,0,4,61
20120603,0,126,1,1,0,0,92,3,0,5,1,6,107
20120603,0,126,1,2,0,0,68,1,0,0,0,3,72
20120603,0,127,0,1,0,0,211,1,5,5,2,6,230
20120603,0,127,0,2,0,0,187,1,3,0,0,12,203
20120603,0,127,1,1,0,0,231,4,3,12,7,15,272
20120603,0,127,1,2,0,0,280,1,4,0,0,16,301
20120603,0,129,0,1,0,0,177,0,2,1,2,4,186
20120603,0,129,0,2,0,0,159,0,2,0,0,4,165
20120603,0,129,1,1,0,0,261,2,4,12,2,14,295
20120603,0,129,1,2,0,0,251,2,4,0,0,7,264
20120603,0,131,0,1,0,0,67,1,1,4,0,2,75
20120603,0,131,0,2,0,0,63,1,0,0,0,3,67
20120603,0,131,1,1,0,0,91,1,1,9,2,7,111
20120603,0,131,1,2,0,0,84,2,0,0,0,7,93
20120603,0,132,0,1,0,0,25,1,0,2,6,1,35
20120603,0,132,0,2,0,0,27,0,0,0,0,0,27
20120603,0,132,1,1,0,0,46,0,4,3,5,4,62
20120603,0,132,1,2,0,0,36,1,0,0,0,2,39
20120603,0,133,0,1,0,0,10,1,0,0,2,1,14
20120603,0,133,0,2,0,0,15,0,0,0,0,0,15
20120603,0,133,1,1,0,0,17,0,0,1,1,1,20
20120603,0,133,1,2,0,0,13,0,1,0,0,0,14
20120603,0,134,0,1,0,0,8,0,0,0,0,0,8
20120603,0,134,0,2,0,0,15,0,0,0,0,0,15
20120603,0,134,1,1,0,0,7,0,0,0,0,0,7
20120603,0,134,1,2,0,0,7,0,0,0,0,1,8
20120603,0,135,0,1,0,0,96,11,11,14,5,3,140
20120603,0,135,0,2,0,0,98,3,7,0,0,2,110
20120603,0,135,1,1,0,0,128,1,9,8,5,12,163
20120603,0,135,1,2,0,0,100,3,5,0,0,4,112
20120603,0,137,0,1,0,0,28,0,0,0,0,1,29
20120603,0,137,0,2,0,0,25,0,0,0,0,1,26
20120603,0,137,1,1,0,0,22,1,0,0,0,5,28
20120603,0,137,1,2,0,0,25,5,0,0,0,3,33
20120603,0,138,0,1,0,0,38,3,1,2,0,2,46
20120603,0,138,0,2,0,0,46,6,1,0,0,1,54
20120603,0,138,1,1,0,0,49,4,1,2,1,5,62
20120603,0,138,1,2,0,0,50,1,1,0,0,5,57
20120603,0,139,0,1,0,0,38,0,1,0,0,1,40
20120603,0,139,0,2,0,0,41,0,0,0,0,3,44
20120603,0,139,1,1,0,0,47,1,0,0,0,5,53
20120603,0,139,1,2,0,0,35,1,1,0,0,4,41
20120603,0,140,0,1,0,0,188,2,1,0,0,6,197
20120603,0,140,0,2,0,0,219,4,2,0,0,13,238
20120603,0,140,1,1,0,0,169,1,0,1,2,20,193
20120603,0,140,1,2,0,0,185,1,4,0,0,5,195
20120603,0,142,0,1,0,0,38,1,0,0,0,2,41
20120603,0,142,0,2,0,0,43,1,0,0,0,1,45
20120603,0,142,1,1,0,0,33,1,0,0,0,3,37
20120603,0,142,1,2,0,0,23,0,0,0,0,5,28
20120603,0,143,0,1,0,0,2,0,0,0,0,0,2
20120603,0,143,0,2,0,0,2,0,0,0,0,1,3
20120603,0,143,1,1,0,0,5,0,0,0,0,0,5
20120603,0,143,1,2,0,0,4,0,1,0,0,0,5
20120603,0,144,0,1,0,0,12,1,1,0,0,1,15
20120603,0,144,0,2,0,0,19,0,0,0,0,3,22
20120603,0,144,1,1,0,0,28,0,0,0,0,5,33
20120603,0,144,1,2,0,0,34,0,0,0,0,0,34
20120603,0,145,0,1,0,0,68,0,1,1,0,1,71
20120603,0,145,0,2,0,0,60,1,4,0,0,5,70
20120603,0,145,1,1,0,0,143,2,3,1,1,9,159
20120603,0,145,1,2,0,0,118,0,4,0,0,4,126
20120603,0,146,0,1,0,0,54,1,1,2,0,2,60
20120603,0,146,0,2,0,0,66,0,0,0,0,4,70
20120603,0,146,1,1,0,0,88,0,1,0,2,4,95
20120603,0,146,1,2,0,0,85,0,2,0,0,9,96
20120603,0,147,0,1,0,0,20,2,0,2,0,1,25
20120603,0,147,0,2,0,0,24,0,0,0,0,1,25
20120603,0,147,1,1,0,0,23,0,1,2,0,6,32
20120603,0,147,1,2,0,0,28,0,0,0,0,0,28
20120603,0,148,0,1,0,0,75,0,0,4,1,3,83
20120603,0,148,0,2,0,0,76,0,0,0,0,4,80
20120603,0,148,1,1,0,0,87,1,1,1,1,9,100
20120603,0,148,1,2,0,0,101,0,2,0,0,9,112
20120603,0,149,0,1,0,0,189,0,0,1,1,8,199
20120603,0,149,0,2,0,0,233,2,3,0,0,14,252
20120603,0,149,1,1,0,0,218,0,5,1,0,23,247
20120603,0,149,1,2,0,0,310,0,3,0,0,20,333
20120603,0,150,0,1,0,0,400,1,6,1,5,16,429
20120603,0,150,0,2,0,0,488,1,10,0,0,29,528
20120603,0,150,1,1,0,0,402,3,4,8,4,29,450
20120603,0,150,1,2,0,0,433,5,17,0,0,23,478
20120603,0,151,0,1,0,0,33,0,1,1,0,1,36
20120603,0,151,0,2,0,0,38,0,0,0,0,2,40
20120603,0,151,1,1,0,0,69,2,0,2,5,6,84
20120603,0,151,1,2,0,0,75,0,2,0,0,3,80
20120603,0,152,0,1,0,0,94,0,2,1,0,2,99
20120603,0,152,0,2,0,0,74,0,1,1,0,2,78
20120603,0,152,1,1,0,0,148,2,5,3,0,13,171
20120603,0,152,1,2,0,0,149,1,3,0,0,2,155
20120603,0,153,0,1,0,0,42,1,4,2,1,1,51
20120603,0,153,0,2,0,0,49,1,3,0,0,1,54
20120603,0,153,1,1,0,0,94,2,0,0,1,6,103
20120603,0,153,1,2,0,0,83,1,1,0,0,3,88
20120603,0,154,0,1,0,0,18,1,0,1,0,2,22
20120603,0,154,0,2,0,0,12,0,0,0,0,3,15
20120603,0,154,1,1,0,0,30,0,1,2,1,1,35
20120603,0,154,1,2,0,0,35,0,0,0,0,2,37
20120603,0,155,0,1,0,0,21,0,1,0,0,0,22
20120603,0,155,0,2,0,0,15,0,0,0,0,0,15
20120603,0,155,1,1,0,0,20,1,3,2,0,4,30
20120603,0,155,1,2,0,0,9,0,0,0,0,0,9
20120603,0,156,0,1,0,0,28,2,2,1,3,0,36
20120603,0,156,0,2,0,0,13,0,0,0,0,0,13
20120603,0,156,1,1,0,0,46,1,3,2,5,2,59
20120603,0,156,1,2,0,0,34,0,4,0,0,4,42
20120603,0,157,0,1,0,0,11,0,0,0,1,1,13
20120603,0,157,0,2,0,0,6,0,0,0,0,0,6
