집계일자,콘존ID,차로유형구분코드,교통량
20120601,0100CZS210,1,33702
20120601,0100CZS220,1,29929
20120601,0100CZS230,1,48089
20120601,0100CZS240,1,47646
20120601,0100CZS250,1,50367
20120601,0100CZS260,1,21082
20120601,0100CZS270,1,-1
20120601,0100CZS280,1,-1
20120601,0100CZS285,1,-1
20120601,0101CZE010,1,-1
20120601,0101CZE020,1,-1
20120601,0101CZE030,1,-1
20120601,0101CZE040,1,-1
20120601,0101CZE050,1,-1
20120601,0101CZE060,1,-1
20120601,0101CZE070,1,-1
20120601,0101CZE080,1,-1
20120601,0101CZE090,1,-1
20120601,0101CZE100,1,-1
20120601,0101CZE110,1,-1
20120601,0101CZS010,1,-1
20120601,0101CZS020,1,-1
20120601,0101CZS030,1,-1
20120601,0101CZS040,1,-1
20120601,0101CZS050,1,-1
20120601,0101CZS060,1,-1
20120601,0101CZS070,1,-1
20120601,0101CZS080,1,-1
20120601,0101CZS090,1,-1
20120601,0101CZS100,1,-1
20120601,0101CZS110,1,-1
20120601,0120CZE090,1,6868
20120601,0120CZE100,1,7749
20120601,0120CZE110,1,5025
20120601,0120CZE220,1,8388
20120601,0120CZE230,1,12263
20120601,0120CZS090,1,6333
20120601,0120CZS100,1,7588
20120601,0120CZS110,1,5196
20120601,0120CZS220,1,9136
20120601,0120CZS230,1,12360
20120601,0121CZE010,1,556
20120601,0121CZE020,1,2108
20120601,0121CZE030,1,10672
20120601,0121CZE040,1,13685
20120601,0121CZE050,1,14138
20120601,0121CZE060,1,14813
20120601,0121CZE070,1,14375
20120601,0121CZE080,1,13826
20120601,0121CZS010,1,701
20120601,0121CZS020,1,2463
20120601,0121CZS030,1,10724
20120601,0121CZS040,1,12996
20120601,0121CZS050,1,13605
20120601,0121CZS060,1,14247
20120601,0121CZS070,1,14215
20120601,0121CZS080,1,13782
20120601,0140CZE010,1,6283
20120601,0140CZE020,1,7553
20120601,0140CZE030,1,7240
20120601,0140CZE040,1,4680
20120601,0140CZE050,1,4627
20120601,0140CZE060,1,3294
20120601,0140CZS010,1,5379
20120601,0140CZS020,1,6832
20120601,0140CZS030,1,6559
20120601,0140CZS040,1,4385
20120601,0140CZS050,1,4665
20120601,0140CZS060,1,3393
20120601,0150CZE010,1,11933
20120601,0150CZE030,1,15186
20120601,0150CZE040,1,14556
20120601,0150CZE050,1,5108
20120601,0150CZE060,1,5423
20120601,0150CZE070,1,6231
20120601,0150CZE080,1,8449
20120601,0150CZE090,1,10435
20120601,0150CZE100,1,10153
20120601,0150CZE110,1,9214
20120601,0150CZE120,1,9561
20120601,0150CZE130,1,9126
20120601,0150CZE140,1,9755
20120601,0150CZE150,1,13708
20120601,0150CZE160,1,11484
20120601,0150CZE170,1,12316
20120601,0150CZE180,1,11248
20120601,0150CZE190,1,13153
20120601,0150CZE200,1,12481
20120601,0150CZE210,1,13026
20120601,0150CZE220,1,13828
20120601,0150CZE230,1,14376
20120601,0150CZE240,1,21663
20120601,0150CZE250,1,25252
20120601,0150CZE260,1,25616
20120601,0150CZE270,1,31772
20120601,0150CZE280,1,46689
20120601,0150CZE290,1,49814
20120601,0150CZE300,1,56599
20120601,0150CZE310,1,59189
20120601,0150CZE315,1,60067
20120601,0150CZE320,1,54348
20120601,0150CZE330,1,-1
20120601,0150CZE340,1,-1
20120601,0150CZE350,1,-1
20120601,0150CZE360,1,72426
20120601,0150CZE370,1,74110
20120601,0150CZE380,1,49108
20120601,0150CZS010,1,10753
20120601,0150CZS030,1,13913
20120601,0150CZS040,1,13461
20120601,0150CZS050,1,4949
20120601,0150CZS060,1,5629
20120601,0150CZS070,1,6449
20120601,0150CZS080,1,9014
20120601,0150CZS090,1,11274
20120601,0150CZS100,1,11562
20120601,0150CZS110,1,9958
20120601,0150CZS120,1,11262
20120601,0150CZS130,1,10196
20120601,0150CZS140,1,11683
20120601,0150CZS150,1,15575
