집계일자,집계시,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20220603,0,11,0,1,0,1,169,2,3,9,1,13,197
20220603,0,11,0,2,0,1,704,20,6,24,54,34,842
20220603,0,11,1,1,0,1,220,7,4,1,3,9,244
20220603,0,11,1,2,0,1,1108,17,14,26,43,60,1268
20220603,0,12,0,1,0,1,1,0,0,0,0,1,2
20220603,0,12,0,2,0,1,6,0,0,1,0,0,7
20220603,0,12,1,1,0,1,1,0,0,0,0,0,1
20220603,0,12,1,2,0,1,3,0,0,0,0,0,3
20220603,0,13,0,2,0,1,4,1,1,0,0,0,6
20220603,0,13,1,1,0,1,3,0,0,0,0,0,3
20220603,0,13,1,2,0,1,14,0,0,0,1,0,15
20220603,0,25,0,1,8,1,8,0,0,0,0,0,8
20220603,0,25,0,2,8,1,7,0,0,0,0,1,8
20220603,0,25,1,1,8,1,10,0,0,1,0,0,11
20220603,0,25,1,2,8,1,13,0,1,0,0,2,16
20220603,0,29,0,1,0,1,29,0,0,0,2,0,31
20220603,0,29,0,2,0,1,117,2,3,1,31,6,160
20220603,0,29,1,1,0,1,19,1,1,7,1,6,35
20220603,0,29,1,2,0,1,120,1,4,4,28,6,163
20220603,0,53,0,1,0,1,67,1,1,2,3,4,78
20220603,0,53,0,2,0,1,246,4,9,9,10,6,284
20220603,0,53,1,1,0,1,65,1,0,1,0,7,74
20220603,0,53,1,2,0,1,381,8,9,10,12,20,440
20220603,0,56,0,1,0,1,1,0,0,0,0,0,1
20220603,0,56,0,2,0,1,1,0,0,0,0,0,1
20220603,0,57,0,2,0,1,2,0,0,0,0,0,2
20220603,0,57,1,2,0,1,2,0,1,0,0,0,3
20220603,0,58,0,2,0,1,1,0,0,0,0,0,1
20220603,0,61,0,1,0,1,101,3,3,9,2,6,124
20220603,0,61,0,2,0,1,725,59,23,87,38,35,967
20220603,0,61,1,1,0,1,76,5,8,11,5,10,115
20220603,0,61,1,2,0,1,698,69,22,53,55,25,922
20220603,0,62,0,1,0,1,110,8,7,13,2,14,154
20220603,0,62,0,2,0,1,789,72,22,54,50,31,1018
20220603,0,62,1,1,0,1,155,3,4,14,8,13,197
20220603,0,62,1,2,0,1,1070,43,37,61,74,53,1338
20220603,0,63,0,1,0,1,8,0,1,1,0,1,11
20220603,0,63,0,2,0,1,71,5,2,6,2,3,89
20220603,0,63,1,1,0,1,7,0,0,0,0,0,7
20220603,0,63,1,2,0,1,75,3,2,7,7,5,99
20220603,0,64,0,1,0,1,67,5,5,5,1,3,86
20220603,0,64,0,2,0,1,575,31,11,25,41,19,702
20220603,0,64,1,1,0,1,102,5,2,6,1,7,123
20220603,0,64,1,2,0,1,699,28,13,31,31,42,844
20220603,0,65,0,1,0,1,131,0,0,0,0,3,134
20220603,0,65,0,2,0,1,633,9,6,3,0,22,673
20220603,0,65,1,1,0,1,167,1,1,1,0,1,171
20220603,0,65,1,2,0,1,756,9,37,2,4,15,823
20220603,0,66,0,1,0,1,10,1,0,0,0,0,11
20220603,0,66,0,2,0,1,140,6,8,4,1,5,164
20220603,0,66,1,1,0,1,17,2,0,0,0,2,21
20220603,0,66,1,2,0,1,128,3,2,7,1,4,145
20220603,0,67,0,1,0,1,61,1,5,17,4,1,89
20220603,0,67,0,2,0,1,543,28,12,49,46,12,690
20220603,0,67,1,1,0,1,110,5,3,6,2,7,133
20220603,0,67,1,2,0,1,639,14,17,46,35,27,778
20220603,0,68,0,1,0,1,131,3,4,2,1,12,153
20220603,0,68,0,2,0,1,777,25,9,29,32,36,908
20220603,0,68,1,1,0,1,140,1,3,12,3,5,164
20220603,0,68,1,2,0,1,729,25,13,29,35,37,868
20220603,0,74,0,1,10,1,4,0,0,0,0,0,4
20220603,0,74,0,2,10,1,29,2,0,2,1,2,36
20220603,0,74,1,1,10,1,8,0,0,1,1,0,10
20220603,0,74,1,2,10,1,85,3,1,4,3,3,99
20220603,0,91,0,1,0,1,0,1,0,0,0,0,1
20220603,0,91,0,2,0,1,1,0,0,0,0,1,2
20220603,0,91,1,1,0,1,0,0,0,0,1,0,1
20220603,0,91,1,2,0,1,4,0,0,0,1,0,5
20220603,0,92,0,1,0,1,1,0,0,0,0,0,1
20220603,0,92,0,2,0,1,14,0,1,2,4,0,21
20220603,0,92,1,1,0,1,5,0,0,0,0,0,5
20220603,0,92,1,2,0,1,17,2,0,2,0,2,23
20220603,0,101,0,1,0,0,200,2,4,24,9,0,239
20220603,0,101,0,2,0,0,1288,91,135,111,48,60,1733
20220603,0,101,1,1,0,0,243,19,5,25,5,18,315
20220603,0,101,1,2,0,0,1347,154,58,88,71,48,1766
20220603,0,102,0,1,0,0,43,2,0,4,0,0,49
20220603,0,102,0,2,0,0,284,7,7,1,2,17,318
20220603,0,102,1,1,0,0,29,2,1,2,0,5,39
20220603,0,102,1,2,0,0,397,7,23,2,2,20,451
20220603,0,103,0,1,0,0,81,2,2,5,0,0,90
20220603,0,103,0,2,0,0,377,69,17,30,9,10,512
20220603,0,103,1,1,0,0,88,4,7,9,0,2,110
20220603,0,103,1,2,0,0,643,43,48,54,10,35,833
20220603,0,104,0,2,0,0,4,0,1,0,0,0,5
20220603,0,104,1,2,0,0,2,0,0,1,0,0,3
20220603,0,105,0,1,0,0,8,0,0,1,0,0,9
20220603,0,105,0,2,0,0,152,1,0,1,0,7,161
20220603,0,105,1,1,0,0,22,1,0,1,1,5,30
20220603,0,105,1,2,0,0,206,5,12,5,2,11,241
20220603,0,106,0,1,0,0,25,0,4,9,1,0,39
20220603,0,106,0,2,0,0,159,67,17,40,7,5,295
20220603,0,106,1,1,0,0,34,3,1,2,0,4,44
20220603,0,106,1,2,0,0,280,42,22,25,9,8,386
20220603,0,107,0,1,0,0,29,1,0,1,0,0,31
20220603,0,107,0,2,0,0,125,9,3,6,1,7,151
20220603,0,107,1,1,0,0,35,1,0,0,0,12,48
20220603,0,107,1,2,0,0,247,5,6,3,1,9,271
20220603,0,108,0,1,0,0,32,1,2,4,0,0,39
20220603,0,108,0,2,0,0,195,14,3,9,2,5,228
20220603,0,108,1,1,0,0,58,1,0,8,0,3,70
20220603,0,108,1,2,0,0,283,8,8,7,8,11,325
20220603,0,109,0,1,0,0,3,0,0,4,0,0,7
20220603,0,109,0,2,0,0,15,0,4,9,2,1,31
20220603,0,109,1,1,0,0,3,0,1,1,0,0,5
20220603,0,109,1,2,0,0,13,4,2,6,0,0,25
20220603,0,110,0,1,0,0,6,0,1,3,1,0,11
20220603,0,110,0,2,0,0,21,4,3,13,7,0,48
20220603,0,110,1,1,0,0,4,0,0,6,0,0,10
20220603,0,110,1,2,0,0,35,3,9,12,3,3,65
20220603,0,111,0,1,0,0,12,0,1,2,0,0,15
20220603,0,111,0,2,0,0,63,6,5,4,10,1,89
20220603,0,111,1,1,0,0,20,1,1,4,1,2,29
20220603,0,111,1,2,0,0,115,5,7,6,13,1,147
20220603,0,112,0,1,0,0,8,0,0,6,0,0,14
20220603,0,112,0,2,0,0,36,7,3,11,16,1,74
20220603,0,112,1,1,0,0,12,0,1,14,5,1,33
20220603,0,112,1,2,0,0,94,3,3,23,25,2,150
20220603,0,113,0,1,0,0,13,1,0,6,0,0,20
20220603,0,113,0,2,0,0,80,2,3,19,20,1,125
20220603,0,113,1,1,0,0,29,0,0,15,1,4,49
20220603,0,113,1,2,0,0,101,4,5,52,35,7,204
20220603,0,114,0,1,0,0,3,0,1,9,0,0,13
20220603,0,114,0,2,0,0,27,2,8,46,6,1,90
20220603,0,114,1,1,0,0,3,0,1,7,0,0,11
20220603,0,114,1,2,0,0,23,4,9,63,7,0,106
20220603,0,115,0,1,0,0,20,0,1,0,0,0,21
20220603,0,115,0,2,0,0,125,11,7,4,4,8,159
20220603,0,115,1,1,0,0,42,1,0,2,0,3,48
20220603,0,115,1,2,0,0,189,9,3,6,1,11,219
20220603,0,116,0,1,0,0,8,0,1,3,1,0,13
20220603,0,116,0,2,0,0,23,3,1,17,3,3,50
20220603,0,116,1,1,0,0,8,0,2,6,1,0,17
20220603,0,116,1,2,0,0,35,4,6,30,26,1,102
20220603,0,117,0,1,0,0,2,0,0,1,0,0,3
20220603,0,117,0,2,0,0,1,0,0,5,0,0,6
20220603,0,117,1,2,0,0,2,0,0,0,0,0,2
20220603,0,118,0,1,0,0,1,0,0,0,0,0,1
20220603,0,118,0,2,0,0,6,0,0,0,0,0,6
20220603,0,118,1,1,0,0,2,0,0,0,0,0,2
20220603,0,118,1,2,0,0,5,0,0,0,0,1,6
20220603,0,119,0,1,0,0,11,0,1,0,0,0,12
20220603,0,119,0,2,0,0,48,0,1,2,1,3,55
20220603,0,119,1,1,0,0,8,0,0,1,0,2,11
20220603,0,119,1,2,0,0,72,2,0,1,2,5,82
20220603,0,120,0,1,0,0,3,0,2,11,6,1,23
20220603,0,120,0,2,0,0,56,1,3,39,51,4,154
20220603,0,120,1,1,0,0,1,0,0,0,0,0,1
20220603,0,120,1,2,0,0,5,0,0,0,0,0,5
20220603,0,121,0,1,0,0,10,0,0,18,8,0,36
20220603,0,121,0,2,0,0,47,4,3,35,64,2,155
20220603,0,121,1,1,0,0,3,0,3,1,0,0,7
20220603,0,121,1,2,0,0,4,0,0,0,0,0,4
20220603,0,122,0,1,0,0,8,0,0,4,1,0,13
20220603,0,122,0,2,0,0,21,3,2,1,0,0,27
20220603,0,122,1,1,0,0,27,0,1,28,14,2,72
20220603,0,122,1,2,0,0,113,5,10,62,102,3,295
20220603,0,123,0,1,0,0,19,0,1,1,0,0,21
20220603,0,123,0,2,0,0,65,1,2,5,2,1,76
20220603,0,123,1,1,0,0,24,0,0,1,1,2,28
20220603,0,123,1,2,0,0,87,2,2,7,1,2,101
20220603,0,124,0,1,0,0,3,0,0,0,0,0,3
20220603,0,124,0,2,0,0,6,0,0,3,3,0,12
20220603,0,124,1,1,0,0,3,0,0,0,0,0,3
20220603,0,124,1,2,0,0,6,1,0,3,8,0,18
20220603,0,125,0,1,0,0,6,0,0,1,1,0,8
20220603,0,125,0,2,0,0,63,2,0,4,3,0,72
20220603,0,125,1,1,0,0,13,0,0,2,1,0,16
20220603,0,125,1,2,0,0,59,3,0,6,5,2,75
20220603,0,126,0,1,0,0,12,0,0,4,0,0,16
20220603,0,126,0,2,0,0,62,9,2,10,4,1,88
20220603,0,126,1,1,0,0,11,0,0,1,1,2,15
20220603,0,126,1,2,0,0,59,8,3,6,4,0,80
20220603,0,127,0,1,0,0,22,1,3,8,0,0,34
20220603,0,127,0,2,0,0,144,10,10,18,16,5,203
20220603,0,127,1,1,0,0,36,2,1,7,2,4,52
